,X_-TACT_TIME_mean,X_-CONVEYOR_SPEED_mean,PUMP_high,PUMP_low,CLN1_over-etching-ratio,CLN1_EPT_time,clean_count,EPT_clean_count_ratio,NH3_TREAT_-RF_FREQ-max,NH3_TREAT_-RF_FREQ-range,NH3_TREAT_-RF_FREQ-mean,NP_3_-MFC_VOL_SIH4-range,VENT_high,VENT_low,Output
36653,140,3150,36579.5,10343.36667,0.004739336,12027,3,4009.0,13982,456,13659.2143,1,18286.24375,6712.09,0.82457715
3303,150,3150,32995.3375,10425.81429,0.000665041,13533,4,3383.25,13974,466,13637.0,1,16336.54118,5743.225,0.9077192
21097,165,4200,38002.78,12784.92,0.001148106,13065,2,6532.5,13973,442,13643.3333,1,15711.45556,7750.87,0.6903565
22499,140,3150,39121.31429,10088.1125,0.003461805,12999,2,6499.5,13948,429,13651.0,1,16996.25294,7753.833333,0.7956118
3633,150,3150,43716.76667,10539.95714,0.000598982,10017,6,1669.5,13996,462,13651.8333,1,15812.6,5384.128571,0.71803015
27653,170,3150,46084.55,11034.62857,0.005074971,13005,5,2601.0,13934,418,13635.4286,1,16268.42353,5806.486667,0.5012648
23800,160,3150,39680.22,11231.2,0.006001847,12996,2,6498.0,13973,446,13638.5,1,16153.12857,6658.815385,0.4965508
37224,195,3150,26417.41667,9388.925,0.005260521,11976,4,2994.0,13934,392,13640.0,1,15735.14375,7901.788889,0.4850302
11972,150,3150,47602.5,10539.95714,0.00210021,9999,2,4999.5,13983,461,13637.25,1,15419.47778,5422.178571,0.6319155
24203,170,3150,44008.13333,12145.68,0.00049975,12006,3,4002.0,13978,446,13643.0,1,17099.23571,7603.154545,0.7499923
19217,165,4200,27917.55,12998.0,0.003446691,13056,2,6528.0,13969,440,13641.1667,1,16317.31333,7990.57,0.7029433
13813,150,3150,32799.82,12252.22,0.007855823,12984,2,6492.0,13960,432,13637.8333,1,18796.96154,7264.163636,0.32705408
4327,150,3150,51683.2,10539.95714,0.00149925,10005,4,2501.25,13989,455,13647.75,1,15281.33333,5643.35,0.7235623
36982,195,3150,32787.575,10654.11429,0.001997004,12018,4,3004.5,13982,452,13612.1818,1,15720.24,5757.323077,0.7443845
40196,190,3150,41365.36,9255.75,0.001249375,12006,3,4002.0,13987,467,13665.8462,1,16408.0,6072.84,0.8459076
18055,145,2650,41153.68,11133.54,0.001608456,13056,3,4352.0,13970,446,13635.5,1,17779.68571,8197.744444,0.8964211
9840,165,4200,29393.95,12625.14,0.003586372,10038,2,5019.0,13925,404,13647.0,1,16479.46471,8582.477778,0.5285919
7632,150,3150,38009.78,10077.01667,0.005971932,10047,3,3349.0,13952,425,13635.4167,1,16062.35714,6747.608333,0.7604785
1868,150,3150,40317.8,10806.3,0.004204204,9990,5,1998.0,13966,434,13640.5,1,15673.4375,7591.05,0.7159433
34294,170,3150,40346.8,10958.51429,0.000499002,12024,4,3006.0,13977,450,13639.5,1,15348.45625,7324.71,0.78584844
35145,140,3150,52057.66667,9943.833333,0.0059985,12003,7,1714.714286,13986,459,13642.3077,1,19262.42,6179.38,0.89090997
15054,150,3150,49928.83333,11719.52,0.000230627,13008,8,1626.0,13961,436,13659.1538,1,17759.26429,7627.381818,0.72826135
16771,150,3150,33761.24,12412.02,0.007392007,12987,2,6493.5,13970,437,13642.25,1,16298.3875,6973.6,0.3450032
19206,180,3150,33554.83333,12252.24,0.00099975,12003,8,1500.375,13970,439,13640.75,1,18206.69375,7700.009091,0.68154395
22707,140,3150,42190.3,10692.15714,0.00345941,13008,3,4336.0,13967,436,13641.4167,1,15059.0875,5897.807143,0.8794557
1548,150,3150,31764.0,10654.11429,0.000899011,10011,5,2002.2,13994,454,13655.1667,1,15444.76111,5650.478571,0.76541483
40236,190,3150,35319.74,9289.05,0.003250813,11997,3,3999.0,13974,452,13636.6667,1,16618.38667,7931.388889,0.7250235
35465,140,3150,44966.46,12305.5,0.005234297,12036,3,4012.0,13976,448,13640.0,1,17502.20625,5913.03,0.8317895
38327,190,3150,50088.4,9255.7625,0.002497502,12012,2,6006.0,13981,439,13677.0769,1,16618.38667,7931.388889,0.6741525
27409,170,3150,63875.66667,12975.17143,0.00100025,11997,5,2399.4,13984,455,13644.4167,1,16360.15625,6925.177778,0.6976867
3759,150,3150,30351.84,10578.01429,0.006612564,9981,3,3327.0,13936,445,13627.9231,1,15904.33889,7564.42,0.8097907
27978,170,3150,39666.34286,9022.7,0.003926097,12990,4,3247.5,13953,437,13616.8462,1,14896.63125,5498.278571,0.4772731
36143,160,3150,28336.83333,12678.4,0.01825913,11994,4,2998.5,13969,433,13615.2727,1,19155.37143,5764.628571,0.794527
26429,185,3150,36522.62,12518.58,0.004126547,13086,3,4362.0,13972,446,13637.5,1,17509.00667,6494.907692,0.46226627
16534,150,3150,33241.975,12358.76,0.00345145,13038,5,2607.6,13975,452,13636.0,1,17490.95714,6984.355556,0.65726197
9566,165,4200,31697.03333,13926.44286,0.00598265,10029,6,1671.5,13972,443,13665.3077,1,15425.8,8612.066667,0.6477878
37139,195,3150,40868.06,10539.95714,0.001249375,12006,2,6003.0,13977,453,13637.25,1,15772.62222,7005.08,0.8159411
7352,150,3150,40870.6,10806.31429,0.004194128,10014,5,2002.8,13943,430,13621.9167,1,15973.4125,7431.23,0.6819019
32604,150,3150,53510.53333,12092.42,0.002238249,12063,4,3015.75,13951,430,13628.5,1,17982.59375,7409.445455,0.5946825
18815,145,2650,45942.5,11833.67143,0.001843743,13017,4,3254.25,13991,462,13616.0909,1,19745.86,7431.24,0.81527305
26478,185,3150,48385.925,12678.38,0.005538888,12999,4,3249.75,13966,458,13634.1667,1,15708.24444,7990.58,0.5205814
15426,150,3150,38336.58,10425.8,0.000924214,12984,4,3246.0,13956,474,13602.1667,1,15662.7125,8878.422222,0.6636729
26614,160,3150,25627.025,11985.86667,0.004144601,13029,5,2605.8,13988,460,13696.0,1,15493.23333,8612.066667,0.7922715
24339,140,3150,27554.45,10616.04286,0.001844168,13014,5,2602.8,13969,443,13636.75,1,16471.57333,6105.623077,0.8230041
18616,165,4200,32898.12,12731.64,0.016839677,13005,5,2601.0,13974,441,13663.4545,1,17200.1,6044.161538,0.8408468
26131,170,3150,64413.03333,13165.42857,0.004732254,12045,8,1505.625,13990,459,13645.75,1,17462.57857,6925.166667,0.53971565
32056,145,3150,70637.26667,12571.86,0.006251563,11997,3,3999.0,13985,455,13660.0,1,17038.30667,6481.25,0.85397357
30683,170,3150,55492.5,12731.66,0.009011264,11985,4,2996.25,13989,455,13647.75,1,17285.06,6481.244444,0.52813643
31678,145,3150,33917.0,12198.96,0.008774129,11967,8,1495.875,13989,462,13669.1538,1,18810.08462,7264.163636,0.7248154
39782,140,3150,56735.025,12412.02,0.005227782,12051,4,3012.75,13979,453,13608.3636,1,18047.79375,6019.58,0.864506
25297,140,2650,53149.33333,12039.14,0.003221353,13038,3,4346.0,13975,449,13637.1538,1,17753.86667,2194.242857,0.9146384
17486,150,3150,35816.66,10387.75714,0.000923788,12990,3,4330.0,13960,481,13566.4545,1,15427.9375,8079.355556,0.7467697
37421,160,3150,47681.25,12518.58,0.002994012,12024,2,6012.0,13956,437,13628.25,1,16401.20588,8043.85,0.63409
5294,150,3150,53566.96,10996.55714,0.0003003,9990,2,4995.0,13932,446,13614.7857,1,15217.05556,5660.0,0.5037044
23090,140,3150,37585.3,9588.7,0.001155268,12984,3,4328.0,13962,500,13631.1667,1,15977.025,7431.24,0.8802922
20630,140,3150,39509.02857,9089.2875,0.002305741,13011,5,2602.2,13966,438,13607.6364,1,16633.48667,8197.744444,0.8329469
